Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.15838623046875,152.2625919076215,149.9890318942147,150.4153225898607,22622100
2020-01-03,150.26373291015625,151.5236688959314,149.73323659087,149.97954877835332,21116200
2020-01-06,150.6521759033203,150.7184951877552,148.26492739771743,148.80490629687822,20813700
2020-01-07,149.278564453125,151.25845815414866,149.03226665965386,150.92690510004644,21634100
2020-01-08,151.65635681152344,152.3289599347664,149.62909390667602,150.55746285619952,27746500
2020-01-09,153.5509796142578,153.67413574703286,152.54682348378634,153.3141497927336,21385000
2020-01-10,152.84042358398438,154.62138769177605,152.6888490950364,154.24246592434494,20725900
2020-01-13,154.67828369140625,154.70670211208954,152.76469478737948,153.23835440536027,21626500
2020-01-14,153.5888214111328,154.98138138252065,153.2004171840242,154.78243804877684,23477400
2020-01-15,154.5835723876953,155.303544381157,154.00572143181222,154.0530758377426,21417900
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400
2020-01-17,158.2970428466797,158.64754632231816,156.71500707487465,158.60017747170502,34371700
2020-01-21,157.72862243652344,159.32959395002115,157.66230316439436,157.89913292781256,29517200
2020-01-22,156.9707489013672,158.66645793583385,156.9517984747694,158.58118824361392,24138800
2020-01-23,157.93702697753906,158.0128142331594,156.56341729990527,157.43494905712768,19680800
2020-01-24,156.3455047607422,158.70433402348226,155.78659007941053,158.68538359811564,24918100
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100
2020-01-28,156.743408203125,157.02759233935902,154.47931636983554,155.15190476551047,24899900
2020-01-29,159.18746948242188,159.86007229491779,156.96127863009366,158.9980085840233,34754500
2020-01-30,163.6777801513672,164.88087936173753,161.7926100859004,164.88087936173753,51597500
2020-01-31,161.2621612548828,163.31784241229383,160.64640948856473,163.13786388648447,36142700
2020-02-03,165.19351196289062,165.30718563115278,161.4231714761802,161.45158989324574,30107000
2020-02-04,170.6311492919922,171.12375938000062,167.02186503790605,167.80814179887963,36433300
2020-02-05,170.42271423339844,174.4961895872338,169.01121791022703,174.33514706166798,39186300
2020-02-06,173.95620727539062,174.1362002133704,170.57427122162437,171.43633505355797,27751400
2020-02-07,174.2025146484375,175.85085514230525,172.86679120280033,173.21730911108827,33529100
2020-02-10,178.75912475585938,178.89174886166035,173.5962381626121,173.90885522377374,35844300
2020-02-11,174.72360229492188,180.65381686932403,173.83311969594936,180.6064480056653,53159900
2020-02-12,174.9793243408203,176.0592675799467,172.2699910279323,175.80348736530172,47062900
2020-02-13,174.031982421875,176.4192159295942,173.23622346436093,173.43516681747468,35295800
2020-02-14,175.5856170654297,175.64245390384997,173.02784369696806,173.59624099105812,23149500
2020-02-18,177.36654663085938,177.81178775317247,175.72768867603537,175.83189435263932,27792200
2020-02-19,177.89849853515625,178.75340863724387,177.12907654439266,178.63942448881184,29997500
2020-02-20,175.1817626953125,177.86999994787422,172.0280805137108,177.5850250864562,36862400
2020-02-21,169.64381408691406,174.30785891305882,168.3709427375459,173.99438799966083,48572600
2020-02-24,162.32955932617188,165.80622141128146,155.0532703487702,159.36585498840046,68311100
2020-02-25,159.6508331298828,166.08169133903291,159.2518595430359,165.47375160376006,68073300
2020-02-26,161.6455841064453,164.5807916536019,159.78377552086138,161.20863524213226,56206100
2020-02-27,150.25621032714844,158.66288904796488,150.06623191703775,155.1387438829772,93174900
2020-02-28,153.89439392089844,155.5092470603951,144.3858321653702,144.77529742816304,97012700
2020-03-02,164.13436889648438,164.25786140312832,154.17935094628967,157.02907098692916,71030800
2020-03-03,156.2691192626953,166.2336440588436,154.13182955336734,165.09375911275336,71677000
2020-03-04,162.006591796875,162.1490720051714,157.32354419371018,160.049786299332,49814400
2020-03-05,157.94091796875,162.31047806976153,157.38997059841,157.73193743191692,47817300
2020-03-06,153.47642517089844,154.93927504171984,148.18543814642317,154.46432171432747,72821100
2020-03-09,143.0748748779297,149.84771108532522,142.4859376405628,143.4358438914999,70419300
2020-03-10,152.85899353027344,152.96348385327482,144.93677465901976,150.23725610009342,65354400
2020-03-11,145.93417358398438,149.80028638541867,143.5783944896267,149.25884709378187,56371600
2020-03-12,132.09397888183594,145.7821332961046,131.63802787788026,138.0213999109442,93226400
2020-03-13,150.8736572265625,153.79937110403267,133.6803430845326,140.11121440764762,92727400
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900
2020-03-17,139.22779846191406,140.11120452293932,128.2373736311648,132.9869059878746,81059800
2020-03-18,133.36685180664062,138.6863334062944,128.25636526746447,131.08708226074404,81593200
2020-03-19,135.5611572265625,142.62844911064573,132.03699788391367,135.61814929503072,85922700
2020-03-20,130.46961975097656,139.73120501521967,129.05425432337353,138.68630241840964,84866200
2020-03-23,129.16831970214844,133.52840283190852,125.88165036490473,130.14672252460196,78975200
2020-03-24,140.90911865234375,142.1060100501509,134.19328761949444,136.5490515459888,82516700
2020-03-25,139.560302734375,146.59911547079795,137.20453797240356,141.45062244939217,75638200
2020-03-26,148.28993225097656,148.81238382335576,140.9376493369031,140.96614537772146,64568100
2020-03-27,142.2010498046875,147.13106858025253,141.7260963888439,144.14836170853184,57042300
2020-03-30,152.2035369873047,152.55501230058746,142.49548995938957,144.8037706334884,63420300
2020-03-31,149.80975341796875,156.52558451872216,148.71735229790227,151.41508315184382,77927200
2020-04-01,144.49029541015625,149.84776812499067,143.2649222575526,145.33571171552185,57969900
2020-04-02,147.48248291015625,147.69146350670735,142.8279467020778,144.25280649978632,49630700
2020-04-03,146.12411499023438,149.49628588002253,144.56626894886142,147.33050027358752,41243300
2020-04-06,156.9910430908203,158.15942396618635,149.68626016931051,152.28900906098028,67111700
2020-04-07,155.3002471923828,161.48413441584339,155.0817582215985,161.09466920123717,62769000
2020-04-08,156.85809326171875,158.3209431578964,155.30974074936518,157.3710364866465,48318200
2020-04-09,156.86756896972656,158.98585654320863,155.1482404127014,158.02645613418778,51385100
2020-04-13,157.21905517578125,157.2760617539971,154.16986273762387,156.11717440218635,41905300
2020-04-14,164.9987335205078,165.04623173787772,159.58427011201988,160.5341764817343,52874300
2020-04-15,163.2699432373047,164.8752876336318,160.76219051302303,162.62399924309832,40940800
2020-04-16,168.17144775390625,168.39943054189166,164.23883525130512,165.56871310625135,50479600
2020-04-17,169.65333557128906,170.98319909985108,167.06007994895504,170.50824576901817,52765600
2020-04-20,166.29066467285156,169.79582271685595,166.2241787409171,167.78202514998281,36669600
2020-04-21,159.413330078125,164.97027490463032,157.78898343996238,164.8087925244848,56203700
2020-04-22,164.82778930664062,165.2837403941168,162.2630445097546,162.80448370842808,34620200
2020-04-23,162.83299255371094,166.2906521024293,162.34854539106306,165.38824370404214,32790800
2020-04-24,165.80624389648438,165.8157377470091,162.15860506388518,163.44097061728124,34277600
2020-04-27,165.33123779296875,168.03846276162992,164.61880788104367,167.74399405047532,33194400
2020-04-28,161.3036651611328,166.87011937399518,160.9047060598675,166.79412509359793,34392700
2020-04-29,168.5419158935547,168.779392536246,163.26994602134675,164.54281734751044,51286600
